date,mean_sentiment
2021-04-22,0.5541666666666667
2021-04-23,0.022341269841269832
2021-04-24,0.031687242798353915
2021-04-25,0.11785714285714285
2021-04-26,0.065
2021-04-27,0.11000000000000001
2021-04-28,0.18481818181818183
2021-04-29,0.03666666666666667
2021-04-30,-0.06555555555555556
2021-05-01,0.021160714285714293
2021-05-02,0.17142857142857143
2021-05-03,0.04511904761904762
2021-05-04,0.009571428571428571
2021-05-05,0.025
2021-05-06,0.21363636363636362
2021-05-07,0.07998809523809522
2021-05-08,0.036071428571428574
2021-05-09,0.4
2021-05-10,0.1
2021-05-11,0.17794444444444443
2021-05-12,0.1775
2021-05-13,0.07333333333333333
2021-05-14,0.0903030303030303
2021-05-15,0.0875
2021-05-16,0.1416666666666667
2021-05-17,-0.0657142857142857
2021-05-18,-0.02125
2021-05-19,0.04638888888888888
2021-05-20,0.09333333333333334
2021-05-21,0.06642857142857142
2021-05-22,0.15166666666666667
2021-05-23,0.2107142857142857
2021-05-24,0.09457142857142857
2021-05-25,0.053454545454545456
2021-05-26,0.10499999999999998
2021-05-27,0.2087878787878788
2021-05-28,-0.01
2021-05-29,0.16666666666666666
2021-05-30,0.02976190476190476
2021-05-31,0.24309523809523811
2021-06-01,0.09625
2021-06-02,0.21000000000000002
2021-06-03,0.11898214285714288
2021-06-04,0.065
2021-06-05,0.2736111111111111
2021-06-06,0.12
2021-06-07,0.1625
2021-06-08,0.17214285714285715
2021-06-09,0.16833333333333333
2021-06-10,0.0704978354978355
2021-06-11,0.02642857142857143
2021-06-12,0.1511904761904762
2021-06-13,0.11904761904761905
2021-06-14,0.026103896103896095
2021-06-15,0.31225
2021-06-16,0.1154978354978355
2021-06-17,-0.06875
2021-06-18,0.06773809523809524
2021-06-19,0.05555555555555555
2021-06-20,0.12003246753246752
2021-06-21,0.05607142857142857
2021-06-22,0.12
2021-06-23,0.2067142857142857
2021-06-24,0.17761904761904762
2021-06-25,0.0968939393939394
2021-06-26,0.043333333333333335
2021-06-27,0.26666666666666666
2021-06-28,0.083
2021-06-29,0.057999999999999996
2021-06-30,0.1266363636363636
2021-07-01,-0.008333333333333333
2021-07-02,0.23571428571428568
2021-07-03,0.2
2021-07-04,0.20952380952380953
2021-07-05,0.043333333333333335
2021-07-06,0.18216666666666667
2021-07-07,0.1
2021-07-08,0.02142857142857143
2021-07-09,0.10416666666666667
2021-07-10,0.06
2021-07-11,0.06285714285714286
2021-07-12,0.07134920634920636
2021-07-13,0.014166666666666666
2021-07-14,0.18791666666666668
2021-07-15,0.08704545454545455
2021-07-16,0.13766666666666666
2021-07-17,0.121875
2021-07-18,0.25928571428571423
2021-07-19,0.1122077922077922
2021-07-20,0.044611111111111115
2021-07-21,0.03481212121212122
2021-07-22,0.11000000000000001
2021-07-23,0.03
2021-07-24,0.175
2021-07-25,0.11000000000000001
2021-07-26,0.05600000000000001
2021-07-27,0.1876046176046176
2021-07-28,0.20035714285714284
2021-07-29,0.0
2021-07-30,0.03221230158730158
2021-07-31,0.155
2021-08-01,0.1111111111111111
2021-08-02,0.12143939393939393
2021-08-03,0.06042207792207792
2021-08-04,-0.016428571428571438
2021-08-05,-0.030416666666666668
2021-08-06,0.05803571428571428
2021-08-07,0.2692857142857143
2021-08-08,0.16226190476190477
2021-08-09,0.01892857142857143
2021-08-10,-0.020277777777777777
2021-08-11,0.06045454545454545
2021-08-12,0.0485
2021-08-13,0.03
2021-08-14,0.0625
2021-08-15,0.10500000000000001
2021-08-16,0.08928571428571427
2021-08-17,0.19476190476190475
2021-08-18,-0.015119047619047633
2021-08-19,0.06999999999999999
2021-08-20,0.16071428571428573
2021-08-21,0.0519047619047619
2021-08-22,0.008571428571428574
2021-08-23,0.045
2021-08-24,0.21910714285714286
2021-08-25,0.19256493506493505
2021-08-26,0.17532142857142857
2021-08-27,0.11000000000000001
2021-08-28,0.05128787878787879
2021-08-29,0.16
2021-08-30,0.035
2021-08-31,0.06222222222222222
2021-09-01,0.0975
2021-09-02,-0.02
2021-09-03,0.01425925925925926
2021-09-04,0.015000000000000003
2021-09-05,0.18333333333333335
2021-09-06,0.12060606060606058
2021-09-07,0.1913333333333333
2021-09-08,0.14863636363636362
2021-09-09,0.023246753246753248
2021-09-10,0.2991558441558441
2021-09-11,0.25928571428571423
2021-09-12,0.2738095238095238
2021-09-13,0.1083874458874459
2021-09-14,-0.07666666666666669
2021-09-15,0.09161255411255412
2021-09-16,0.16142857142857142
2021-09-17,0.11641156462585035
2021-09-18,0.16999999999999998
2021-09-19,0.12547619047619046
2021-09-20,0.02666666666666666
2021-09-21,-0.07027777777777777
2021-09-22,0.23928571428571427
2021-09-23,0.038636363636363635
2021-09-24,0.175
2021-09-25,0.1111111111111111
2021-09-26,0.23892857142857143
2021-09-27,0.09875
2021-09-28,0.07363636363636364
2021-09-29,0.05
2021-09-30,0.17452380952380953
2021-10-01,0.13134199134199134
2021-10-02,0.0874025974025974
2021-10-03,0.04928571428571429
2021-10-04,0.033571428571428565
2021-10-05,0.15533333333333338
2021-10-06,0.030637626262626262
2021-10-07,0.007777777777777777
2021-10-08,-0.04229166666666667
2021-10-09,0.11454545454545455
2021-10-10,0.0
2021-10-11,0.05062500000000001
2021-10-12,0.06500000000000002
2021-10-13,0.08392857142857142
2021-10-14,0.155
2021-10-15,0.13260461760461761
2021-10-16,0.15190476190476193
2021-10-17,0.22628246753246756
2021-10-18,0.050634920634920644
2021-10-19,0.2
2021-10-20,0.045
2021-10-21,0.09833333333333331
2021-10-22,-0.0014682539682539671
