date,mean_sentiment,Volume,Volume Weighted,Open,Close,High,Low,Count
2021-04-22,,24145520.0,113.0337,113.77,112.626,114.4441,112.016,74812.0
2021-04-23,0.0049382716049382,29111080.0,114.5798,113.35,114.9965,115.3059,113.0625,81278.0
2021-04-24,0.0019312169312169,29111080.0,114.5798,113.35,114.9965,115.3059,113.0625,81278.0
2021-04-25,0.0,29111080.0,114.5798,113.35,114.9965,115.3059,113.0625,81278.0
2021-04-26,0.0525,32036220.0,115.5906,115.226,115.4965,116.2265,114.8658,79716.0
2021-04-27,0.1318181818181818,44385600.0,115.6731,115.8816,114.549,115.9225,114.308,126045.0
2021-04-28,0.13,81106800.0,119.3423,119.6248,117.952,121.569,117.661,191717.0
2021-04-29,0.016,41233080.0,119.5319,119.4615,119.638,120.208,118.6925,114801.0
2021-04-30,-0.1119191919191919,44856760.0,117.8902,118.401,117.675,119.0925,117.328,120102.0
2021-05-01,0.0111111111111111,44856760.0,117.8902,118.401,117.675,119.0925,117.328,120102.0
2021-05-02,0.2378571428571428,44856760.0,117.8902,118.401,117.675,119.0925,117.328,120102.0
2021-05-03,0.0177777777777777,28242780.0,117.7376,118.2455,117.154,119.0775,116.775,86932.0
2021-05-04,0.11,44818640.0,114.4684,115.6775,115.3415,116.2495,112.834,129579.0
2021-05-05,0.0625,26636180.0,116.0368,116.4315,115.7385,116.75,115.414,72759.0
2021-05-06,0.1299999999999999,25190460.0,116.0777,115.3165,116.8675,116.8675,114.6521,73157.0
2021-05-07,0.0852857142857142,28897240.0,117.8688,118.1945,117.5965,118.5625,117.3078,74917.0
2021-05-08,-0.0027777777777777,28897240.0,117.8688,118.1945,117.5965,118.5625,117.3078,74917.0
2021-05-09,0.0,28897240.0,117.8688,118.1945,117.5965,118.5625,117.3078,74917.0
2021-05-10,0.15,30914580.0,114.9958,116.407,114.5875,116.55,114.227,100469.0
2021-05-11,0.1488571428571428,34185840.0,113.1394,112.1535,113.503,114.014,111.696,106225.0
2021-05-12,0.1261904761904762,45175480.0,110.5124,111.3095,110.0125,112.399,109.681,127150.0
