date,mean_sentiment,Volume,Volume Weighted,Open,Close,High,Low,Count
2021-04-22,0.0681818181818181,25593777.0,258.419,260.21,257.17,261.78,255.64,368851.0
2021-04-23,0.0622222222222222,21499286.0,260.377,257.88,261.15,261.51,257.27,248124.0
2021-04-24,0.1816872427983539,21499286.0,260.377,257.88,261.15,261.51,257.27,248124.0
2021-04-25,0.0,21499286.0,260.377,257.88,261.15,261.51,257.27,248124.0
2021-04-26,0.15,19763346.0,261.3754,261.66,261.55,262.435,260.17,261642.0
2021-04-27,0.1125,30764213.0,260.0699,261.585,261.97,263.19,260.12,405196.0
2021-04-28,0.2083333333333333,46903119.0,254.5516,256.078,254.56,256.5399,252.95,640658.0
2021-04-29,0.0841944444444444,40589023.0,251.8285,255.46,252.51,256.1,249.0,556646.0
2021-04-30,0.1269949494949494,30945098.0,251.6108,249.74,252.18,253.08,249.6,358913.0
2021-05-01,0.09,30945098.0,251.6108,249.74,252.18,253.08,249.6,358913.0
2021-05-02,0.2761904761904762,30945098.0,251.6108,249.74,252.18,253.08,249.6,358913.0
2021-05-03,0.1409523809523809,19426568.0,252.3653,253.4,251.86,254.35,251.12,300183.0
2021-05-04,0.0562987012987013,32756052.0,247.5786,250.97,247.79,251.21,245.76,444266.0
2021-05-05,0.0342857142857142,21888125.0,247.7274,249.06,246.47,249.5,245.82,276824.0
2021-05-06,0.0714285714285714,26478085.0,247.6608,246.45,249.73,249.86,244.69,336494.0
2021-05-07,0.0233333333333333,27032912.0,252.7538,252.15,252.46,254.3,251.17,303497.0
2021-05-08,0.0091666666666666,27032912.0,252.7538,252.15,252.46,254.3,251.17,303497.0
2021-05-09,0.0952380952380952,27032912.0,252.7538,252.15,252.46,254.3,251.17,303497.0
2021-05-10,0.1527777777777778,29299890.0,248.6859,250.87,247.18,251.73,247.12,303212.0
2021-05-11,0.1688095238095238,33641589.0,245.2323,244.55,246.23,246.6,242.57,389102.0
2021-05-12,0.1754166666666666,36684370.0,240.0312,242.165,239.0,244.38,238.07,436656.0
2021-05-13,0.0113425925925925,29585298.0,243.3712,241.8,243.03,245.6,241.42,367834.0
2021-05-14,0.055,23901081.0,247.9397,245.575,248.15,249.18,245.49,279555.0
2021-05-15,0.0999999999999999,23901081.0,247.9397,245.575,248.15,249.18,245.49,279555.0
2021-05-16,0.1587121212121212,23901081.0,247.9397,245.575,248.15,249.18,245.49,279555.0
2021-05-17,0.2142857142857142,24970168.0,244.8521,246.55,245.18,246.59,243.52,292523.0
2021-05-18,0.1375,20167975.0,244.6274,246.27,243.08,246.41,242.9,235575.0
2021-05-19,0.1049999999999999,25739807.0,241.5888,239.31,243.12,243.23,238.6,340725.0
2021-05-20,0.031015873015873,21800716.0,246.5319,243.96,246.48,247.95,243.86,226710.0
2021-05-21,0.0408163265306122,21830058.0,245.9809,247.565,245.17,248.33,244.74,233481.0
2021-05-22,0.0864583333333333,21830058.0,245.9809,247.565,245.17,248.33,244.74,233481.0
2021-05-23,0.1119047619047619,21830058.0,245.9809,247.565,245.17,248.33,244.74,233481.0
2021-05-24,0.0871111111111111,21411547.0,250.3348,247.785,250.78,251.16,247.51,239776.0
2021-05-25,0.2170068027210884,17700303.0,251.4842,251.769,251.72,252.75,250.82,212083.0
2021-05-26,0.0520833333333333,17771600.0,251.3609,251.43,251.49,252.94,250.75,195777.0
2021-05-27,0.2616233766233767,24426244.0,249.9316,251.17,249.31,251.48,249.25,223093.0
2021-05-28,0.0916666666666666,18265642.0,250.6562,250.995,249.68,252.08,249.56,190179.0
2021-05-29,0.1833333333333333,18265642.0,250.6562,250.995,249.68,252.08,249.56,190179.0
2021-05-30,-0.15,18265642.0,250.6562,250.995,249.68,252.08,249.56,190179.0
2021-05-31,0.1333333333333333,18265642.0,250.6562,250.995,249.68,252.08,249.56,190179.0
2021-06-01,0.1233896103896103,23213310.0,248.592,251.23,247.4,251.29,246.96,266678.0
2021-06-02,0.24625,19406705.0,247.6484,248.125,247.3,249.27,245.84,231542.0
2021-06-03,0.1622222222222222,25108111.0,245.0698,245.22,245.71,246.34,243.0,254084.0
2021-06-04,0.0354545454545454,25281094.0,250.2145,247.76,250.79,251.65,247.51,246739.0
2021-06-05,0.0585714285714285,25281094.0,250.2145,247.76,250.79,251.65,247.51,246739.0
2021-06-06,0.0,25281094.0,250.2145,247.76,250.79,251.65,247.51,246739.0
2021-06-07,0.0916666666666666,23079167.0,252.6622,249.98,253.81,254.09,249.81,239409.0
2021-06-08,-0.0125,22454998.0,253.5686,255.16,252.57,256.01,252.51,239693.0
2021-06-09,0.2103456439393939,17937634.0,254.2112,253.81,253.59,255.53,253.21,210570.0
2021-06-10,0.0422077922077922,24563619.0,256.4281,254.29,257.24,257.46,253.67,264424.0
2021-06-11,0.1464285714285714,18949731.0,257.5993,257.985,257.89,258.4868,256.61,220398.0
2021-06-12,0.148330241187384,18949731.0,257.5993,257.985,257.89,258.4868,256.61,220398.0
2021-06-13,0.0514285714285714,18949731.0,257.5993,257.985,257.89,258.4868,256.61,220398.0
2021-06-14,-0.0016738816738816,19150507.0,258.7219,257.9,259.89,259.95,256.8,198533.0
2021-06-15,0.0996904761904761,18016931.0,258.6822,259.775,258.36,259.99,257.68,209487.0
2021-06-16,0.078,27219955.0,257.8147,259.4,257.38,260.58,254.42,308926.0
2021-06-17,-0.0755555555555555,27565537.0,260.038,256.065,260.9,261.75,256.01,304743.0
2021-06-18,0.1536363636363636,37162767.0,260.1638,259.63,259.43,262.3,258.75,316742.0
2021-06-19,0.0,37162767.0,260.1638,259.63,259.43,262.3,258.75,316742.0
2021-06-20,0.1158730158730158,37162767.0,260.1638,259.63,259.43,262.3,258.75,316742.0
2021-06-21,-0.01,26696119.0,261.9392,259.82,262.63,263.52,257.92,298361.0
2021-06-22,0.1773863636363636,24694090.0,264.7953,262.72,265.51,265.79,262.4,253763.0
2021-06-23,0.1631428571428571,19518681.0,265.3424,265.99,265.275,266.83,264.43,236577.0
2021-06-24,0.2575,21346867.0,266.7737,266.16,266.69,267.85,265.47,235958.0
2021-06-25,0.1134848484848484,23891113.0,265.3848,266.23,265.02,267.25,264.76,215061.0
2021-06-26,0.425,23891113.0,265.3848,266.23,265.02,267.25,264.76,215061.0
2021-06-27,0.4375,23891113.0,265.3848,266.23,265.02,267.25,264.76,215061.0
2021-06-28,0.1446666666666666,19590024.0,268.1287,266.185,268.72,268.9,265.91,239210.0
2021-06-29,0.0483333333333333,19921311.0,270.4822,268.865,271.4,271.65,267.98,238419.0
2021-06-30,0.075064935064935,21547257.0,270.6723,270.69,270.9,271.3598,269.6043,232757.0
2021-07-01,0.05,16725323.0,270.7933,269.61,271.6,271.84,269.6,196894.0
2021-07-02,0.1833333333333333,26474408.0,276.3861,272.82,277.65,278.0,272.5,283710.0
2021-07-03,0.0,26474408.0,276.3861,272.82,277.65,278.0,272.5,283710.0
2021-07-04,0.1785714285714285,26474408.0,276.3861,272.82,277.65,278.0,272.5,283710.0
2021-07-05,0.05,26474408.0,276.3861,272.82,277.65,278.0,272.5,283710.0
2021-07-06,0.0937626262626262,31565556.0,277.4582,278.03,277.66,279.3698,274.3,365687.0
2021-07-07,-0.0099999999999999,23260031.0,279.6527,279.4,279.93,280.6945,277.15,299189.0
2021-07-08,0.1385714285714285,24605941.0,277.1555,276.9,277.42,278.73,274.87,333194.0
2021-07-09,0.1178030303030303,23676665.0,277.0749,275.72,277.94,278.05,275.32,264353.0
2021-07-10,0.1833333333333333,23676665.0,277.0749,275.72,277.94,278.05,275.32,264353.0
2021-07-11,0.1876623376623376,23676665.0,277.0749,275.72,277.94,278.05,275.32,264353.0
2021-07-12,0.003083213083213,18931695.0,277.5176,279.157,277.32,279.77,276.58,212250.0
2021-07-13,0.0166666666666666,26120128.0,281.0168,277.52,280.98,282.8477,277.39,305657.0
2021-07-14,0.0459848484848484,23113662.0,282.6312,282.345,282.51,283.66,280.55,268304.0
2021-07-15,0.1115800865800865,22604227.0,281.0044,282.0,281.03,282.51,279.83,296274.0
2021-07-16,0.0249999999999999,26186848.0,281.6857,282.07,280.75,284.1,279.46,283333.0
2021-07-17,0.2583333333333333,26186848.0,281.6857,282.07,280.75,284.1,279.46,283333.0
2021-07-18,-0.025,26186848.0,281.6857,282.07,280.75,284.1,279.46,283333.0
2021-07-19,0.0125,32935634.0,277.0244,278.9335,277.01,280.37,274.45,405114.0
2021-07-20,0.075,26259741.0,279.0782,278.03,279.32,280.97,276.26,267195.0
2021-07-21,0.05,24364320.0,280.489,278.905,281.4,281.52,277.29,254890.0
2021-07-22,0.0625,23384059.0,285.5054,283.84,286.14,286.42,283.42,257353.0
2021-07-23,0.1258333333333333,22767371.0,288.9299,287.37,289.67,289.99,286.5,277182.0
2021-07-24,0.2004545454545454,22767371.0,288.9299,287.37,289.67,289.99,286.5,277182.0
2021-07-25,0.0,22767371.0,288.9299,287.37,289.67,289.99,286.5,277182.0
2021-07-26,0.1026666666666666,23153573.0,288.5004,289.0,289.05,289.69,286.642,260023.0
2021-07-27,0.0489682539682539,33592179.0,285.3983,289.43,286.54,289.575,282.95,427018.0
2021-07-28,0.103,33506853.0,287.211,288.99,286.22,290.15,283.8303,392256.0
2021-07-29,0.1660515873015873,18168294.0,286.8593,286.235,286.5,288.618,286.08,227631.0
