date,mean_sentiment,Volume,Volume Weighted,Open,Close,High,Low,Count
2021-04-22,0.0431818181818181,84566456.0,132.7723,133.04,131.94,134.15,131.41,615670.0
2021-04-23,0.0388888888888888,78666779.0,134.1622,132.16,134.32,135.12,132.16,519533.0
2021-04-24,0.0695238095238095,78666779.0,134.1622,132.16,134.32,135.12,132.16,519533.0
2021-04-25,0.1964285714285714,78666779.0,134.1622,132.16,134.32,135.12,132.16,519533.0
2021-04-26,0.0025,66888509.0,134.5418,134.83,134.72,135.06,133.56,484069.0
2021-04-27,0.024047619047619,66015804.0,134.5907,135.01,134.39,135.41,134.11,480003.0
2021-04-28,0.0814848484848484,107746597.0,134.6526,134.31,133.58,135.02,133.08,783355.0
2021-04-29,0.02,151100953.0,134.1771,136.47,133.48,137.07,132.45,1059387.0
2021-04-30,0.0631944444444444,109425466.0,132.194,131.78,131.46,133.56,131.065,701292.0
2021-05-01,0.1528003246753246,109425466.0,132.194,131.78,131.46,133.56,131.065,701292.0
2021-05-02,0.119047619047619,109425466.0,132.194,131.78,131.46,133.56,131.065,701292.0
2021-05-03,0.0385714285714285,75135100.0,132.8122,132.04,132.54,134.07,131.83,580631.0
2021-05-04,0.1385714285714285,137544918.0,127.9654,131.19,127.85,131.4899,126.7,1182700.0
2021-05-05,0.09375,84000900.0,129.2267,129.2,128.1,130.45,127.97,659279.0
2021-05-06,0.1736363636363636,78064334.0,128.6316,127.89,129.74,129.75,127.13,607088.0
2021-05-07,0.2286190476190475,77691273.0,130.4433,130.85,130.21,131.2582,129.475,545296.0
2021-05-08,0.2291666666666666,77691273.0,130.4433,130.85,130.21,131.2582,129.475,545296.0
2021-05-09,0.0826984126984126,77691273.0,130.4433,130.85,130.21,131.2582,129.475,545296.0
2021-05-10,0.1035714285714285,88071229.0,127.8422,129.41,126.85,129.54,126.81,680681.0
2021-05-11,0.1003968253968254,126142826.0,124.7406,123.5,125.91,126.27,122.77,922237.0
2021-05-12,0.1086607142857142,112172282.0,123.0599,123.4,122.77,124.64,122.25,876763.0
2021-05-13,-0.01625,105850339.0,125.1884,124.58,124.97,126.15,124.26,788603.0
2021-05-14,0.1203030303030303,81872951.0,126.9616,126.25,127.45,127.89,125.85,535527.0
2021-05-15,-0.1228571428571428,81872951.0,126.9616,126.25,127.45,127.89,125.85,535527.0
2021-05-16,0.0895833333333333,81872951.0,126.9616,126.25,127.45,127.89,125.85,535527.0
2021-05-17,0.1086363636363636,74216624.0,125.9467,126.82,126.27,126.93,125.17,502288.0
2021-05-18,0.0638690476190476,63342929.0,125.9763,126.56,124.85,126.99,124.78,493538.0
2021-05-19,0.0738888888888888,92593489.0,124.0238,123.16,124.69,124.915,122.86,674397.0
2021-05-20,0.1165714285714285,76852123.0,126.8581,125.23,127.31,127.72,125.1,494796.0
2021-05-21,0.2028571428571428,79295436.0,126.1486,127.82,125.43,128.0,125.21,527860.0
2021-05-22,0.1504761904761904,79295436.0,126.1486,127.82,125.43,128.0,125.21,527860.0
2021-05-23,0.1273809523809523,79295436.0,126.1486,127.82,125.43,128.0,125.21,527860.0
2021-05-24,0.0768253968253968,63067944.0,127.2698,126.01,127.1,127.94,125.94,442120.0
2021-05-25,0.0614848484848484,72009482.0,127.0739,127.82,126.9,128.32,126.32,462909.0
2021-05-26,0.1366666666666666,56443920.0,126.8655,126.955,126.85,127.39,126.42,415320.0
2021-05-27,0.1301010101010101,94625601.0,126.1253,126.44,125.28,127.64,125.08,545582.0
2021-05-28,0.06,71238509.0,125.0642,125.57,124.61,125.8,124.55,527853.0
2021-05-29,0.1699074074074074,71238509.0,125.0642,125.57,124.61,125.8,124.55,527853.0
2021-05-30,-0.0833333333333333,71238509.0,125.0642,125.57,124.61,125.8,124.55,527853.0
2021-05-31,0.1444341372912801,71238509.0,125.0642,125.57,124.61,125.8,124.55,527853.0
2021-06-01,0.025,65562118.0,124.5894,125.08,124.28,125.35,123.94,501106.0
2021-06-02,0.0529166666666666,58674262.0,124.769,124.28,125.06,125.24,124.05,461408.0
2021-06-03,0.056,75699170.0,123.7708,124.68,123.54,124.85,123.13,562249.0
2021-06-04,0.0699999999999999,75169343.0,125.368,124.07,125.89,126.16,123.85,467760.0
2021-06-05,0.075,75169343.0,125.368,124.07,125.89,126.16,123.85,467760.0
2021-06-06,0.0777777777777777,75169343.0,125.368,124.07,125.89,126.16,123.85,467760.0
2021-06-07,0.045,71057550.0,125.3691,126.17,125.9,126.32,124.8321,504254.0
2021-06-08,0.1399999999999999,74403774.0,127.0742,126.6,126.74,128.46,126.2101,532078.0
2021-06-09,0.0339583333333333,56695219.0,127.0733,127.21,127.13,127.75,126.52,382625.0
2021-06-10,0.0886363636363636,71186421.0,126.6607,127.02,126.11,128.19,125.94,498371.0
2021-06-11,0.1115530303030302,53522373.0,127.0246,126.53,127.35,127.44,126.1,354080.0
2021-06-12,0.223015873015873,53522373.0,127.0246,126.53,127.35,127.44,126.1,354080.0
2021-06-13,0.2936507936507936,53522373.0,127.0246,126.53,127.35,127.44,126.1,354080.0
2021-06-14,0.045,96906490.0,129.6322,127.82,130.48,130.54,127.07,563595.0
2021-06-15,0.2039583333333333,62725532.0,129.8358,129.94,129.64,130.6,129.39,416230.0
2021-06-16,0.0994047619047619,91793025.0,130.0001,130.37,130.15,130.89,128.461,619028.0
2021-06-17,-0.0375555555555555,96721669.0,131.5645,129.8,131.79,132.55,129.65,652025.0
2021-06-18,0.1422077922077921,108890309.0,130.7868,130.71,130.46,131.51,130.24,557039.0
2021-06-19,0.0,108890309.0,130.7868,130.71,130.46,131.51,130.24,557039.0
2021-06-20,0.1896825396825396,108890309.0,130.7868,130.71,130.46,131.51,130.24,557039.0
2021-06-21,-0.0147619047619047,79269216.0,131.4999,130.3,132.3,132.41,129.21,506660.0
2021-06-22,0.1066666666666666,73713618.0,133.0905,132.13,133.98,134.08,131.62,481082.0
2021-06-23,0.1045714285714285,60214200.0,133.7872,133.77,133.7,134.32,133.23,424752.0
2021-06-24,0.2311363636363636,68710998.0,133.7663,134.45,133.41,134.64,132.93,443492.0
2021-06-25,0.0418181818181818,70783746.0,133.2362,133.46,133.11,133.89,132.81,358692.0
2021-06-26,0.5214285714285714,70783746.0,133.2362,133.46,133.11,133.89,132.81,358692.0
2021-06-27,0.1666666666666666,70783746.0,133.2362,133.46,133.11,133.89,132.81,358692.0
2021-06-28,0.0425,61941303.0,134.8066,133.41,134.78,135.245,133.35,454433.0
2021-06-29,0.0913333333333333,64291681.0,135.9422,134.8,136.33,136.49,134.35,442545.0
2021-06-30,0.1599999999999999,63234093.0,136.8187,136.17,136.96,137.41,135.87,419352.0
2021-07-01,0.0722222222222222,52417031.0,136.6708,136.6,137.27,137.33,135.76,388276.0
